2026-02-19 07:40:53 - src.config - INFO - Production configuration loaded successfully.
2026-02-19 07:40:53 - src.database.db_manager - INFO - Initializing connection pool on 127.0.0.1:5433...
2026-02-19 07:40:53 - src.database.db_manager - INFO - PostgreSQL connection pool established.
2026-02-19 07:40:53 - src.database.db_manager - INFO - Database schema verified/created.
2026-02-19 07:40:59 - src.config - INFO - Production configuration loaded successfully.
2026-02-19 07:40:59 - src.database.db_manager - INFO - Initializing connection pool on 127.0.0.1:5433...
2026-02-19 07:40:59 - src.database.db_manager - INFO - PostgreSQL connection pool established.
2026-02-19 07:40:59 - src.database.db_manager - INFO - Database schema verified/created.
2026-02-19 07:41:03 - src.producer.simulator - INFO - Kafka Producer initialized for topic: customer_heartbeats
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 101 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 95 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 83 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 132 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 72 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 100 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 76 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 85 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 73 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 65 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 86 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 91 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 85 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 100 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 76 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 82 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 73 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 179 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 91 BPM
2026-02-19 07:41:05 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 69 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 83 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 71 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 66 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 71 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 158 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 71 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 89 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 155 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 93 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 124 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 73 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 127 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 79 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 125 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 78 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 94 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 69 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 72 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 135 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 74 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 75 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 80 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 94 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 69 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 60 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 94 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 88 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 65 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 63 BPM
2026-02-19 07:41:06 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 93 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 71 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 80 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 78 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 61 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 94 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 81 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 87 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 72 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 74 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 81 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 91 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 98 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 92 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 69 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 111 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 160 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 89 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 100 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 138 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 148 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 75 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 82 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 124 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 100 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 82 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 76 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 66 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 68 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 82 BPM
2026-02-19 07:41:07 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 94 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 96 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 73 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 126 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 121 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 124 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 73 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 87 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 115 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 110 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 79 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 65 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 65 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 73 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 80 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 108 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 70 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 73 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 90 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 93 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 150 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 79 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 64 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 88 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 66 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 86 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 179 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 94 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 75 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 96 BPM
2026-02-19 07:41:08 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 92 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 135 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 60 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 68 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 72 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 121 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 61 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 69 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 178 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 92 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 65 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 69 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 97 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 136 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 89 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 96 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 70 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 64 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 73 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 99 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 100 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 103 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 139 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 126 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 82 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 73 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 90 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 74 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 85 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 104 BPM
2026-02-19 07:41:09 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 128 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 83 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 77 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 188 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 68 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 77 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 66 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 120 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 69 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 96 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 91 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 183 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 89 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 119 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 110 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 71 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 82 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 65 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 97 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 95 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 89 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 126 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 67 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 77 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 76 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 81 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 175 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 75 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 61 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 91 BPM
2026-02-19 07:41:10 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 93 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 62 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 89 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 73 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 110 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 93 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 98 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 70 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 64 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 64 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 86 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 130 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 97 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 185 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 85 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 187 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 100 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 145 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 75 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 108 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 88 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 89 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 64 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 98 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 132 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 65 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 119 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 180 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 77 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 80 BPM
2026-02-19 07:41:11 - src.producer.simulator - INFO - Published heartbeat for CUST-3280: 73 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-9602: 63 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-6697: 83 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-3736: 94 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-2816: 61 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-9590: 118 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-1023: 96 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-4917: 87 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-7463: 77 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-9845: 78 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-1320: 72 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-8552: 68 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-3223: 99 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-7279: 99 BPM
2026-02-19 07:41:12 - src.producer.simulator - INFO - Published heartbeat for CUST-9963: 89 BPM
